cod_geo,País,Sigla,Institución,Nombre de la Iniciativa,Área,"Política, Planes, Programas, Iniciativas/Proyectos",Fecha,Finalidad,Descripción,Link ,Link 2
MX,México,MX,Secretaría de la Salud,Acuerdo por el que se establecen acciones extraordinarias para atender la emergencia sanitaria generada por el virus SARS-CoV-2,Violencia Doméstica/VIF,Proyectos/Iniciativas,31/03/2020,Atención y respuesta,"Acuerdo que establece las medidas de acción extraordinarias para atender la emergencia sanitaria. Específicamente, establece a los centros de atención a mujeres víctimas de violencia, sus hijas e hijos como servicios básicos esenciales para mantener su funcionamiento.",https://www.dof.gob.mx/nota_detalle.php?codigo=5590914&fecha=31/03/2020,
PE,Perú,PE,Defensoría del Pueblo,"Alerta para evitar acoso de niños, niñas por internet",Ciberbullying,Proyectos/Iniciativas,02/05/2020,Prevención,Comunicado en el contexto del día internacional contra el Acoso y Ciber acoso Escolar. Recomienda y exhorta al Estado tomar medidas para reforzar las medidas de protección. ,https://www.defensoria.gob.pe/wp-content/uploads/2020/05/NP-225-2020.pdf,
CL,Chile,CL,Equipo de Respuesta ante Incidentes de Seguridad Informática,Amigos por internet,Ciberbullying,Productos/Recursos,01/07/2020,Prevención,"Cuento corto que narra la historia de Julieta, una pequeña que busca hacerse de amigos por internet. El propósito del cuento es crear conciencia en las y los infantes sobre las bondades y riesgos en el uso de las redes sociales.",https://www.csirt.gob.cl/media/2020/07/Cuento-Amigos-por-Internet.pdf,
CR,Costa Rica,CR,"Instituto Nacional de las Mujeres, INAMU",Ampliación atención a mujeres víctimas de violencia por medio de líneas telefónicas,Violencia Doméstica/VIF,Proyectos/Iniciativas,17/03/2020,Atención y respuesta,Personal del INAMU reforzará atenciones y orientará en materia de derechos y violencia. Citas de la Delegación de la Mujer serán de manera telefónica.,https://www.presidencia.go.cr/comunicados/2020/03/inamu-amplia-atencion-a-mujeres-victimas-de-violencia-por-medio-de-lineas-telefonicas-en-contexto-de-emergencia-por-covid-19/,http://www.planovicr.org/caja-herramientas/noestassola-en-medio-del-covid-19
PA,Panamá,OI,ONU Mujeres - Panamá,Análisis preliminar sobre el impacto de la pandemia del COVID-19 en las mujeres,Violencia Doméstica/VIF,Productos/Recursos,-,Recomendaciones,Presenta hallazgos preliminares del efecto de la pandemia en las mujeres y brinda recomendaciones sobre políticas públicas con enfoque de género para la reactivación económica y social en Panamá.,https://lac.unwomen.org/es/digiteca/publicaciones/2020/06/panama-analisis-preliminar-impacto-covid-19,
#N/D,Organismo Internacional ,OI,ONU Mujeres,Análisis rápido de género para la emergencia de COVID-19 en América Latina y el Caribe,Violencia Doméstica/VIF,Productos/Recursos,-,Recomendaciones,"Análisis del impacto de la pandemia considerando grupos vulnerables, mecanismos de respuesta y acceso a servicios. Presenta recomendaciones por sector. ",https://www2.unwomen.org/-/media/field%20office%20americas/documentos/publicaciones/2020/05/_lac%20report_spanish%20final%20jun2-comprimido.pdf?la=es&vs=143,
BR,Brasil,BR,"Ministério Da Mulher, Da Família e Dos direitos Humanos",Aplicación de Derechos Humanos Brasil,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/04/2020,Atención y respuesta,"La solicitud permite la creación de denuncias por violación a los derechos humanos. Las quejas pueden hacerse de manera identificada o anónima. Cada informe recibe un número de protocolo para el seguimiento en tiempo real del progreso. Será posible hacer quejas por videollamada y chatear directamente con un asistente debidamente capacitado,  tendrá un área especial para el idioma brasileño de los signos.",https://play.google.com/store/apps/details?id=br.gov.direitoshumanosbrasil,
AR,Argentina,AR,"Ministerio de las Mujeres, Géneros y Diversidad",Asistencia WhatsApp,Violencia Doméstica/VIF,Proyectos/Iniciativas,-,Prevención,"Línea de emergencia y asesoría vía WhatsApp. Brinda atención, asesoramiento y contención para situaciones de violencias por motivos de género, las 24 horas, de manera gratuita y en todo el país.",https://api.whatsapp.com/send?phone=5491127716463,
DO,República Dominicana,RD,Ministerio de la Mujer,Aumento de llamadas y reportes por violencia doméstica a partir de la cuarentena (17 de marzo al 28 de junio),Violencia Doméstica/VIF,Proyectos/Iniciativas,01/07/2020,Atención y respuesta,Los servicios de la Línea Mujer *212 y las Casas de Acogida son declarados como servicios esenciales y se mantienen con disponibilidad permanente. ,https://mujer.gob.do/index.php/noticias/item/589-linea-mujer-212-recibio-2-322-llamadas-y-las-casas-de-acogida-protegieron-a-mas-de-mil-personas-de-la-violencia-extrema-durante-estado-de-emergencia-por-covid-19,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Autodiagnóstico de violencia intrafamiliar dirigido a trabajadoras,Violencia Doméstica/VIF,Productos/Recursos,01/06/2020,Prevención,Cuestionario dirigido a trabajadoras que le permite a la encuestada la autoidentificación de prácticas violentas de sus parejas hacia ellas.,https://iniciativaparidadgenero.cl/wp-content/uploads/2020/06/Autodiagn%C3%B3stico-de-Violencia-Intrafamiliar.pdf,
CO,Colombia,CO,Instituto de Medicina Legal y Ciencias Forenses,Boletín de respuesta Institucional y estadístico para el Abordaje de Integral de las violencias por razones de género (NNA y Mujeres) durante el aislamiento preventivo obligatorio de 25 de marzo al 21 de abril de 2020,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Información estadística,Un panorama general del comportamiento de las diferentes formas de violencia registradas entre el 25 de marzo al 21 de abril de los años 2019 y 2020.,https://www.medicinalegal.gov.co/documents/20143/522189/Violencias+contra+las+mujeres%2C+la+pandemia+histo%CC%81rica+I.pdf,
HN,Honduras,HN,Instituto de la Mujer,Boletín especial con informaciones y acciones durante COVID-19 en junio,Violencia Doméstica/VIF,Productos/Recursos,11/06/2020,Información estadística,Boletín estadístico con el comportamiento de llamadas y denuncias recibidas durante la pandemia.   Incluye informe de actividades y capacitaciones realizadas por INAMU.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=151:boletin-de-prensa-mayo&Itemid=110,
HN,Honduras,HN,Instituto de la Mujer,Boletín especial con informaciones y acciones durante COVID-19 en mayo,Violencia Doméstica/VIF,Proyectos/Iniciativas,20/04/2020,Atención y respuesta,Atención virtual de los Módulos de Atención y Protección a los Derechos de la Mujer “MAPRODEM”.,http://www.inam.gob.hn/web/index.php?option=com_phocadownload&view=file&id=148:boletincovid&Itemid=110,
CO,Colombia,CO,Observatorio Colombiano de las Mujeres,Boletín estadístico de llamadas de atención telefónica a mujeres en el contexto del aislamiento,Violencia Doméstica/VIF,Productos/Recursos,02/07/2020,Información estadística,Boletín estadístico de llamadas de atención telefónica a mujeres en el contexto del aislamiento.,http://www.equidadmujer.gov.co/oag/Documents/linea-155-boletin-15.pdf,
DO,República Dominicana,RD,Observatorio de Igualdad de Género de la República Dominicana ,Boletín estadístico del Mujer  Volumen 9 (Agosto),Violencia Doméstica/VIF,Productos/Recursos,01/08/2020,Información estadística,"Boletín estadístico entre enero a junio 2020 con informaciones provenientes de las Oficinas Provinciales y Municipales del Ministerio de la Mujer (OPM y OMM), las Casas de Acogida, la Línea Mujer *212 y la Dirección de Prevención y Atención a la Violencia contra la Mujer e Intrafamiliar.",https://drive.google.com/file/d/1_hXgKE6OqeotpJYDJdpJaqguof6E8kC3/view,
MX,México,MX,Instituto Nacional de las Mujeres,"Boletín Informativo: ""Las mujeres y el Acoso Cibernético""",Ciberbullying,Proyectos/Iniciativas,01/07/2020,Información estadística,"Boletín informativo sobre el ciberacoso o acoso cibernético, en el año 2019. ",http://cedoc.inmujeres.gob.mx/documentos_download/BA6N07_VoBo_300720.pdf,
CO,Colombia,CO,Consejería Presidencial para la Equidad de la Mujer,Boletín No. 7 de 14 de mayo de 2020,Violencia Doméstica/VIF,Productos/Recursos,07/05/2020,Información estadística,Boletín estadístico con las llamadas para la orientación de mujeres en condición de vulnerabilidad a nivel nacional desagregados por tipo de orientación y región.,https://mlr.vicepresidencia.gov.co/Documents/-15052020--461570121-Boletin-Observatorio-Colombiano-de-Las-Mujeres-14-Mayo.pdf,
CL,Chile,CL,Superintendencia de Educación,Campaña  #YoAprendoQueHacer,Ciberbullying,Proyectos/Iniciativas,01/05/2019,Prevención,"Campaña que dispone de material audiovisual con exposiciones de expertos y expertas en distintas materias relacionadas con ciberbullying, para entender este espacio virtual, compartir estrategias de prevención y destacar buenas prácticas en este contexto. La campaña estuvo dirigida por la Superintendencia de Educación e inició en mayo de 2019.",https://www.youtube.com/watch?v=c5GnKTC7uOI&list=PL7To52c4p79wLXqctwQJmMZB4Pwn__lAB&index=1,
BR,Brasil,BR,"Ministério Da Mulher, Da Família e Dos direitos Humanos","Campaña ""¡Hola vecino!""",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/04/2020,Prevención,"Piezas de campaña dirigidas a condominios con el propósito de involucrar a todo el vecindario en la batalla contra la violencia doméstica, especialmente en el período pandémico por COVID-19.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/abril/ministerio-realiza-acao-de-enfrentamento-a-violencia-em-condominios?_authenticator=9c0c00595a9857365fda0a6ae7777ecddf966e54,
VE,Venezuela,VN,Instituto Nacional de la Mujer,"Campaña ""Cuarentena libre de violencia""",Violencia Doméstica/VIF,Proyectos/Iniciativas,29/03/2020,Prevención,El objetivo de la campaña es crear conciencia en la sociedad sobre la necesidad de combatir la Violencia Basada en Género y exhortar a las víctimas a que formulen la denuncia.,http://www.inamujer.gob.ve/?news=gobierno-venezolano-promueve-campana-cuarentena-libre-de-violencia,
BR,Brasil,BR,"Ministerio de la Mujer, Familia y Derechos Humanos","Campaña ""Luz roja contra la violencia doméstica""",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/06/2020,Prevención,"Campaña dirigida a  establecer señales de auxilio para denunciar hechos de violencia doméstica. La acción está dirigida a las redes de farmacias en todo el país y tiene como objetivo combatir la violencia doméstica y familiar contra las mujeres a través de quejas. La idea es animar a la víctima a dibujar una ""X"" en su mano y mostrarla al asistente o farmacéutico. ",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/cartazA3AMB_logo.pdf,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Campaña #HazloPorEllas,Violencia Doméstica/VIF,Proyectos/Iniciativas,21/04/2020,Prevención,Campaña que busca invitar a la ciudadanía a involucrarse en la prevención y erradicación de la violencia contra la mujer.,https://minmujeryeg.gob.cl/?page_id=39667,
CL,Chile,CL,Ministerio de la Mujer y la Equidad de Género,Campaña #Mascarilla19,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/04/2020,Atención y respuesta,"Iniciativa que incluye a las farmacias como canales de ayuda para mujeres que se encuentren en situaciones de riesgo o peligro para su integridad física, psicológica y/o sexual. A través del empleo de la palabra clave mascarilla 19, las mujeres en situación de violencia pueden ser contactadas por farmacéuticos al Fono de orientación 1455 o Carabineros de Chile. ",https://minmujeryeg.gob.cl/?page_id=39626,
AR,Argentina,AR,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo",Campaña #NoDaCompartir,Ciberbullying,Proyectos/Iniciativas,17/05/2020,Prevención,"En el #DiaDeInternet, UNICEF Argentina junto a INADI lanzaron la iniciativa #NoDaCompartir, la campaña contra la discriminación que busca visibilizar, prevenir y denunciar las situaciones de acoso y discriminación en redes sociales. ",https://www.facebook.com/inadiok/posts/10158226287088498,
DO,República Dominicana,RD,Ministerio de la Mujer,"Campaña “En Esta Casa Somos Equipo""",Violencia Doméstica/VIF,Proyectos/Iniciativas,06/04/2020,Prevención,Campaña que destaca las buenas prácticas de la convivencia en el hogar durante cuarentena.,https://mujer.gob.do/,https://mujer.gob.do/index.php/noticias/item/584-en-webinario-con-ministras-del-commca-y-eurosocial-janet-camilo-resalta-programas-gubernamentales-creados-para-el-bienestar-de-la-mujer ; https://mujer.gob.do/index.php/noticias/item/562-en-esta-casa-somos-equipo-la-nueva-campana-del-mmujer-que-destacara-las-buenas-practicas-de-la-convivencia-en-el-hogar-durante-cuarentena
BR,Brasil,BR,"Ministerio de la Mujer, Familia y Derechos Humanos",Campaña para denunciar Violencia Doméstica,Violencia Doméstica/VIF,Proyectos/Iniciativas,15/05/2020,Prevención,"Campaña de sensibilización sobre la violencia doméstica que dispone de material digital público, gratuito y descargable para compartir en redes sociales con el propósito de visibilizar la problemática de la violencia doméstica y promover la denuncia ante tales situaciones.",https://www.gov.br/mdh/pt-br/denuncie-a-violencia-domestica,
PA,Panamá,PA,Ministerio de Desarrollo Social ,"Campaña: ""#NoestásSola""",Violencia Doméstica/VIF,Proyectos/Iniciativas,17/07/2020,Atención y respuesta,Campaña de prevención de violencia doméstica #NoestásSola.,https://twitter.com/MIDESPma/status/1284179644858630144?s=20,
PY,Paraguay,PY,Ministerio de la Mujer y Poblaciones Vulnerables,"Campaña: ""Metete, podemos evitar más feminicidios”",Violencia Doméstica/VIF,Proyectos/Iniciativas,16/06/2020,Prevención,"Se retomó e impulso la Campaña ""Metete, podemos evitar más feminicidios"" con el objetivo de  sensibilizar a la población para actuar contra la violencia hacia las mujeres en el país. ",http://www.mujer.gov.py/index.php/noticias/en-cuarentena-aumentaron-78-las-llamadas-sobre-violencia-hacia-la-mujer,https://lac.unwomen.org/es/noticias-y-eventos/articulos/2020/07/campana-metete-podemos-evitar-mas-feminicidios
NI,Nicaragua,NI,Ministerio de La Mujer,"Campaña: ""Mujeres por La vida, Mujeres, Paz y Bien""",Ciberbullying,Proyectos/Iniciativas,15/05/2020,Prevención,"Capacitaciones para prevenir el acoso callejero y el ciberacoso. Estas capacitaciones forman parte de la campaña ""Mujeres por la Vida, Mujeres, Paz y bien"". ",https://twitter.com/MINIM_Nicaragua/status/1261309854486061068?s=20,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,"Campaña: ""No estas Sola""",Violencia Doméstica/VIF,Proyectos/Iniciativas,17/05/2020,Atención y respuesta,"Iniciativa público-privada para prevenir y atender la violencia en la Emergencia Sanitaria. La iniciativa comprende una campaña informativa, orientaciones para la atención de casos de violencia y derivación a los servicios de atención del MIMP.",https://observatorioviolencia.pe/no-estas-sola-prevenir-violencia/,
GT,Guatemala,GT,Policía Nacional  Civil,"Campaña: ""No más Violencia contra la mujer e intrafamiliar”",Violencia Doméstica/VIF,Proyectos/Iniciativas,27/05/2020,Prevención,"Difusión de spots preventivos para concientizar a la ciudadanía de cesar la violencia contra los niños, niñas y adolescentes, la violencia intrafamiliar, la violencia contra la mujer, la violencia sexual y la explotación y trata de personas. Adicionalmente, se han dispuesto afiches y stickers alusivos a la prevención del COVID-19, a la cultura de denuncia, a la prevención de la violencia intrafamiliar y violencia contra la Mujer.",https://mingob.gob.gt/lanzan-spots-para-prevenir-violencia-intrafamiliar/,https://mingob.gob.gt/prevencion-implementa-campana-de-no-violencia-intrafamiliar-en-solola/
GT,Guatemala,GT,Secretaria Contra la violencia Sexual explotación y trata de personas,"Campaña: ""No podemos salir, pero sí denunciar""",Violencia Doméstica/VIF,Proyectos/Iniciativas,15/06/2020,Prevención,"El objetivo principal de la campaña es promover la prevención y respuesta oportuna en casos de violencia sexual contra mujeres, niñas, niños y adolescentes, en el marco de las condiciones de confinamiento a nivel mundial durante la pandemia por COVID-19.",https://www.svet.gob.gt/noticias/svet-oxfam-guatemala-y-suecia-en-guatemala-lanzan-la-campa%C3%B1a-no-podemos-salir-pero-s%C3%AD,
CR,Costa Rica,CR,"Instituto Nacional de las Mujeres, INAMU","Campaña: ""Seguimos pendiente de vos""",Violencia Doméstica/VIF,Proyectos/Iniciativas,07/05/2020,Atención y respuesta,"La campaña ¡Seguimos pendientes de vos! incluye piezas de comunicación para redes sociales, radio y televisión que informan de los servicios de apoyo y denuncia ante situaciones de violencia contra la mujer. Asimismo, incluye un folleto descargable que reúne toda la información y dispone de todo el material en el sitio web de la campaña, en las redes sociales del INAMU y del Fondo de Población de Naciones Unidas (UNFPA) Costa Rica.",http://www.seguimospendientesdevos.inamu.go.cr/,
EC,Ecuador,EC,Secretaria de Derechos Humanos,Campaña: #MujerEcuadorTeAcompaña ,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/03/2020,Prevención,Campaña de prevención y sensibilización para identificar y denunciar casos de violencia intrafamiliar.,https://www.instagram.com/p/B_IMGHUDVmV/,https://twitter.com/ddhh_ec/status/1269100110065152001
EC,Ecuador,EC,Policía Nacional,Campaña: “Alertas silenciosas para identificar casos de violencia intrafamiliar en unidades educativas durante las clases en línea”,Violencia Doméstica/VIF,Proyectos/Iniciativas,16/03/2020,Prevención,"La Policía Nacional del Ecuador, a través del Departamento de Violencia Intrafamiliar (Devif) y Ministerio de Educación, a partir del pasado 21 de mayo, desarrolla la campaña denominada Alertas silenciosas  para identificar casos de violencia intrafamiliar en unidades educativas durante las clases en línea.",https://www.policia.gob.ec/policia-nacional-desarrolla-campana-alertas-silenciosas-para-identificar-casos-de-violencia-intrafamiliar-en-unidades-educativas-durante-las-clases-en-linea/,
CR,Costa Rica,CR,"Ministerio de Educación Pública, Colegio de Profesionales de Psicología, Patronato Nacional de la Infancia",Campaña: “Alto al Ciberbullying” ,Ciberbullying,Proyectos/Iniciativas,16/07/2020,Atención y respuesta,"Campaña “Alto al Ciberbullying”, la cual tiene por objetivo informar a madres, padres, docentes y personas cuidadores de niños, niñas y adolescentes, sobre los riesgos que existen en los entornos digitales, así como identificar si sus hijas e hijos están siendo víctimas de este tipo de acoso y guiarles sobre qué hacer en ese caso.",https://pani.go.cr/publicaciones/noticias,https://www.panoramadigital.co.cr/pani-alto-al-ciberbullying/
EC,Ecuador,EC,Policía Nacional,Campaña: “Convivencia sin violencia”,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/04/2020,Prevención,"La Policía Nacional del Ecuador, Departamento de Violencia Intrafamiliar (Devif), Dirección Nacional de Policía Especializada para niños, niñas y adolescentes (Dinapen) desarrolla a nivel nacional la campaña “Convivencia sin violencia” e implementa estrategias para atención a víctimas de violencia intrafamiliar, mientras dure la emergencia sanitaria en el país.",https://www.policia.gob.ec/policia-nacional-desarrolla-campana-convivencia-sin-violencia/,
MX,México,MX,Instituto Nacional de las Mujeres y Red de masculinidades “Cómplices por la Igualdad”  ,"Campaña: “Hombres en Sana Convivencia: en esta contingencia, cuidar hace la diferencia”. #YoMeSumoAlaIgualdad",Violencia Doméstica/VIF,Proyectos/Iniciativas,14/05/2020,Prevención,"El Instituto Nacional de las Mujeres se sumó a la campaña nacional ""Hombres en Sana Convivencia: en esta contingencia, cuidar hace la diferencia"" con el objetivo de promover una convivencia libre de violencia dentro de las familias. La campaña incluye infografías y vídeos. #YoMeSumoAlaIgualdad.",https://www.gob.mx/inmujeres/articulos/el-inmujeres-se-suma-a-campana-para-terminar-con-la-violencia-contra-la-mujer?idiom=es,https://www.gob.mx/cms/uploads/attachment/file/557937/CONVOCATORIA_Dia_del_padre_Correc5A.pdf
UY,Uruguay,UY,Instituto del Niño y Adolescentes del Uruguay (INAU),Campaña: Guardemos Distancia: también en las redes,Ciberbullying,Proyectos/Iniciativas,03/08/2020,Prevención,"Campaña que consta de tres piezas audiovisuales que giran en torno a consejos sobre el uso de redes, la privacidad y el ciberbullying.",https://www.inau.gub.uy/novedades/noticias/item/2983-guardemos-distancia-tambien-en-las-redes,
EC,Ecuador,EC,Fiscalía General del Estado,Capacitación “Violencia de género y ciberdelitos” dirigido a docentes y representantes estudiantiles,Ciberbullying,Proyectos/Iniciativas,29/05/2020,Prevención,Fiscalía capacitó a docentes y estudiantes en temas de violencia de género y ciberdelitos.,https://www.fiscalia.gob.ec/fiscalia-capacito-a-docentes-y-estudiantes-en-temas-de-violencia-de-genero-y-ciberdelitos/,
AR,Argentina,AR,"Ministerio de las Mujeres, Géneros y Diversidad",Capacitación a la Honorable Cámara de Diputados de la Nación en el marco de la Ley Micaela,Violencia Doméstica/VIF,Proyectos/Iniciativas,07/05/2020,Prevención,"Capacitación a la Honorable Cámara de Diputados de la Nación prevista en la Ley Micaela, que establece la formación obligatoria en género y violencia por motivos de género para todas las personas que se desempeñan en la función pública en los poderes Ejecutivo, Legislativo y Judicial de la Nación.",https://www.argentina.gob.ar/noticias/capacitamos-altas-autoridades-y-diputadxs-del-congreso-nacional-en-el-marco-de-la-ley,
BO,Bolivia ,BO,Fiscalía General del Estado,Capacitación el uso del maletín de investigaciones en delitos de feminicidio e infanticidio,Violencia Doméstica/VIF,Proyectos/Iniciativas,03/08/2020,Prevención,Capacitación dirigida a servidores públicos con el propósito de desarrollar competencias para investigar y recolectar información en hechos en feminicidio e infanticidio. ,https://www.fiscalia.gob.bo/index.php/noticias/3814-mas-de-300-servidores-publicos-se-especializaron-en-el-uso-del-maletin-de-investigaciones-en-delitos-de-feminicidio-e-infanticidio,
MX,México,MX,Secretaría de Educación y Cultura (SEC),Capacitación en Ciberbullying y sexting,Ciberbullying,Proyectos/Iniciativas,31/08/2020,Prevención,Evento de capacitación realizado en coordinación con la Secretaría de Educación y Cultura (SEC) para visibilizar el problema del ciberbullying en estudiantes de educación media superior. ,https://www.elsoldehermosillo.com.mx/local/ciberbullying-y-sexting-los-temas-del-foro-mujeres-del-cambio-en-tec-de-monterrey-4969246.html,
MX,México,MX,Instituto Nacional de Desarrollo Social,Capacitación en línea a servidores públicos y otros actores sociales que atienden a mujeres en situación de violencia,Violencia Doméstica/VIF,Proyectos/Iniciativas,15/05/2020,Prevención,"Capacitación a profesionales y servidores públicos a fin de brindarles herramientas en materia psicológica para fortalecer la atención telefónica y en línea. El curso ""Estrategias de atención telefónica a personas en situaciones de violencia derivadas por el confinamiento por la contingencia de COVID-19” comprende cinco módulos realizados del 14 al 28 de mayo del 2020. ",https://www.gob.mx/indesol/prensa/indesol-atiende-violencia-de-manera-integral-durante-cuarentena-por-covid-19,
PY,Paraguay,PY,Ministerio del Interior,Capacitaciones al personal policial en manejo del Sistema de Información sobre denuncias de violencia intrafamiliar,Violencia Doméstica/VIF,Proyectos/Iniciativas,28/05/2020,Atención y respuesta,Capacitación sobre manejo del sistema de información y estadística sobre violencia familiar a agentes de la policía especialistas en Violencia Intrafamiliar.  Se espera que las capacitaciones abarquen todas las divisiones del departamento central y capital del país.,http://www.mdi.gov.py/index.php/component/k2/item/12316-ministerio-del-interior-capacita-a-agentes-de-la-policia-en-manejo-del-sistema-de-informaci%C3%B3n-sobre-denuncias-de-violencia-intrafamiliar,
PY,Paraguay,PY,Ministerio del Interior,Capacitaciones al personal policial sobre violencia intrafamiliar en el marco del Programa Gestión Integrada de Seguridad Ciudadana,Violencia Doméstica/VIF,Proyectos/Iniciativas,09/05/2020,Atención y respuesta,"Fortalecimiento de las capacitaciones al personal policial en Comisarías sobre Violencia Intrafamiliar. Para ello, se acordó entre el Ministerio del Interior y Ministerio de la Mujer trabajar en el ajuste de las capacitaciones y afianzar la cooperación entre ambas instituciones. ",http://www.mdi.gov.py/index.php/component/k2/item/12273-ministerio-del-interior-fortalece-abordaje-de-capacitaciones-al-personal-policial-sobre-violencia-intrafamiliar,
