Fecha,País,Nombre de la Iniciativa,"Política, Planes, Programas, Iniciativas/Proyectos",Descripción,link
01/06/2020,Argentina,Informe Estadístico Primer Trimestre de 2020,Proyectos/Iniciativas,"Informe estadístico de violencia doméstica durante el primer trimestre 2020, junio 2020.",http://www.ovd.gov.ar/ovd/verNoticia.do?idNoticia=4269
01/12/2019,Argentina,Datos abiertos de la Oficina de Violencia Doméstica,Proyectos/Iniciativas,Datos abiertos de la Oficina de Violencia Doméstica correspondientes a 2019.,http://datos.csjn.gov.ar/dataset/violencia-domestica
01/04/2020,Argentina,Medidas urgentes sugeridas a fiscales para casos de violencia de género durante el aislamiento,Proyectos/Iniciativas,"Medidas urgentes sugeridas a fiscales para casos de violencia de género durante el aislamiento preventivo y obligatorio dispuesto a raíz de la pandemia por COVID-19.  Atención prioritaria, desplazamiento urgente y medidas cautelares.",https://www.mpf.gob.ar/ufem/files/2020/04/UFEM-Gui%CC%81a_actuacio%CC%81n_Covid-19.pdf
28/07/2020,Argentina,Programa Generar,Planes y Programas,"El Programa Generar busca promover la creación de espacios institucionales en áreas de género y diversidad a nivel provincial y municipal, y fortalecer las áreas ya existentes impulsando su jerarquización y consolidación en todos los niveles del Estado. Este programa es una de las acciones que forman parte del Plan Nacional de Acción contra las Violencias por Motivos de Género 2020-2022. El programa brindará asistencia técnica, capacitación y recursos para apoyar acciones y proyectos específicos.",https://www.argentina.gob.ar/generos/plan_nacional_de_accion_contra_las_violencias_por_motivos_de_genero/programa_generar
07/05/2020,Argentina,Capacitación a la Honorable Cámara de Diputados de la Nación en el marco de la Ley Micaela,Proyectos/Iniciativas,"Capacitación a la Honorable Cámara de Diputados de la Nación prevista en la Ley Micaela, que establece la formación obligatoria en género y violencia por motivos de género para todas las personas que se desempeñan en la función pública en los poderes Ejecutivo, Legislativo y Judicial de la Nación.",https://www.argentina.gob.ar/noticias/capacitamos-altas-autoridades-y-diputadxs-del-congreso-nacional-en-el-marco-de-la-ley
26/05/2020,Argentina,Toma de denuncias por violencia de género durante aislamiento preventivo obligatorio por COVID-19 ,Proyectos/Iniciativas,Pautas básicas para que las y los operadores policiales tomen denuncias por violencia de género durante el aislamiento preventivo obligatorio por COVID-19.,https://www.mpf.gob.ar/covid/files/2020/05/PGN-0039-2020-001.pdf
01/04/2020,Argentina,Toma de denuncias por violencia de género durante aislamiento preventivo obligatorio por COVID-19,Proyectos/Iniciativas,Pautas para el personal policial para actuar en casos de violencia de género ocurridos durante el aislamiento social. ,https://www.argentina.gob.ar/sites/default/files/instructivo_para_personal_policial_y_formulario_de_denuncia.pdf
01/07/2020,Argentina,"Intervenciones domiciliarias por casos de violencia familiar - línea 137, 202006 y 202007",Productos/Recursos,"Este recurso contiene las intervenciones domiciliarias por casos de violencia familiar efectuados a partir de llamados a la línea 137 en julio de 2020, en CABA. La unidad de análisis de este recurso son las víctimas (puede haber más de una víctima/fila por intervención).",http://datos.jus.gob.ar/dataset/42720e56-2274-4ad5-820d-c366d784bc8c/archivo/58e499d1-430f-41ca-b892-a73addb8e3bc
01/06/2020,Argentina,"Registro, sistematización y seguimiento de femicidios y homicidios agravados por el género",Productos/Recursos,"Registro, sistematización y seguimiento de femicidios y homicidios agravados por el género.",http://datos.jus.gob.ar/dataset/registro-sistematizacion-y-seguimiento-de-femicidios-y-homicidios-agravados-por-el-genero
01/06/2020,Argentina,Informe Estadístico Primer Trimestre 2020 ,Productos/Recursos,Informe estadístico del primer trimestre del impacto del COVID-19 en la violencia doméstica.,http://www.ovd.gov.ar/ovd/verMultimedia?data=4144
26/03/2020,Bahamas,Línea de atención directa 24H,Proyectos/Iniciativas,Línea directa las 24 horas para la atención psicológica y emocional.,https://ewnews.com/crisis-centre-launches-covid-19-hotline
31/03/2020,Barbados,Pronunciamiento del Poder Judicial,Proyectos/Iniciativas,El pronunciamiento del Poder Judicial sostuvo que los tribunales continuarán escuchando casos de violencia doméstica.,https://gisbarbados.gov.bb/blog/statement-from-the-judiciary-of-barbados/
04/04/2020,Barbados,Líneas de emergencia y medidas con perspectiva de género,Proyectos/Iniciativas,"El Ministerio de Empoderamiento de las Personas y Asuntos de Ancianos alienta a cualquier persona que pueda ser víctima de violencia doméstica durante el cierre nacional, o que sepa de cualquier persona que pueda ser abusada durante este tiempo, a llamar a su línea de ayuda las 24 horas, 536-HOPE o 536- 4673.",https://gisbarbados.gov.bb/blog/victims-of-abuse-may-call-helpline-during-shut-down/
19/05/2020,Bolivia ,Cursos virtuales de especialización sobre medidas de protección y delitos de violencia sexual,Proyectos/Iniciativas,"Cursos de Especialización en la Actuación para Medidas de Protección, Investigación, Sanción y Reparación Integral de daños en Delitos de Violencia Sexual y en Razón de Género. Las capacitaciones buscan unificar criterios y aclarar dudas en cuanto a la investigación y persecución penal, bajo un enfoque de género por el aumento de casos durante la pandemia. ",https://www.fiscalia.gob.bo/index.php/noticias/3436-fiscalia-inicia-cursos-virtuales-de-especializacion-sobre-medidas-de-proteccion-y-delitos-de-violencia-sexual
01/05/2020,Bolivia ,"Guía de actuación para mujeres en situación de violencia de género, en Declaratoria de Cuarentena Total por el COVID-19, en Bolivia",Productos/Recursos,"Guía con información general de las instituciones especializadas para atender casos de violencia doméstica a nivel nacional, número telefónicos, asistencias jurídica, emocional y salud.",https://boliviasegura.gob.bo/archivos/GUIA-VIOLENCIA.pdf
30/05/2020,Bolivia ,"""Me ha engañado"" La historia de Janet - Documental sobre el Femicidio",Proyectos/Iniciativas,Documental producido por la Defensoría del Pueblo Bolivia que busca concientizar sobre el femicidio a sus espectadores.,https://www.facebook.com/watch/?v=700234590777034
01/04/2020,Bolivia ,Línea gratuita 800 11 3040 Familia Segura,Proyectos/Iniciativas,"La línea gratuita 800 11 3040 Familia Segura es un servicio de atención y respuesta especializado en situaciones de violencia intrafamiliar y sexual o ayuda psico-emocional ante los efectos por pandemia de COVID-19 que brinda contención emocional, atención especializada en psicología clínica y psiquiatría (derivación). Asimismo, brinda información sobre medidas preventivas e instrucciones claras para evitar la propagación del virus COVID-19.",https://www.unicef.org/bolivia/comunicados-prensa/la-l%C3%ADnea-gratuita-familia-segura-cumple-un-mes-al-servicio-de-prevenir-la
23/04/2020,Bolivia ,Protocolo para Procedimientos de la FELCV durante el Estado de Emergencia Sanitario por el COVID-19,Proyectos/Iniciativas,"Protocolo para Procedimientos de la Fuerza Especial de Lucha contra la Violencia (FELCV) durante el Estado de Emergencia Sanitario por el COVID-19, para la atención de hechos de violencia de género.",https://www.defensoria.gob.bo/noticias/defensoria-del-pueblo-y-la-felcv-unen-trabajo-y-esfuerzo-en-la-prevencion-de-la-violencia-hacia-mujeres-en-este-periodo-de-cuarentena
29/06/2020,Bolivia ,Orientaciones para la actuación de las defensorías de la niñez y adolescencia durante la emergencia sanitaria por COVID-19,Proyectos/Iniciativas,Guía de actuación para atender y proteger a menores en situación de vulnerabilidad. ,https://www.justicia.gob.bo/cms/files/R.M.%2047_ftpkwa1l.PDF
30/03/2020,Bolivia ,Curso virtual “Prevención de la Violencia de Género”,Proyectos/Iniciativas,"Este curso virtual tiene por objetivo que la población en general identifique las causas de la violencia de género y sus formas de prevención; conozca los mecanismos de protección y sanción ante este delito; e, incida para que quienes son víctimas de violencia puedan denunciarla en los canales disponibles para tales efectos.",https://www.defensoria.gob.bo/noticias/defensoria-del-pueblo-habilita-cursos-virtuales-para-promover-la-prevencion-de-la-violencia-de-genero-y-la-adopcion
03/08/2020,Bolivia ,Capacitación el uso del maletín de investigaciones en delitos de feminicidio e infanticidio,Proyectos/Iniciativas,Capacitación dirigida a servidores públicos con el propósito de desarrollar competencias para investigar y recolectar información en hechos en feminicidio e infanticidio. ,https://www.fiscalia.gob.bo/index.php/noticias/3814-mas-de-300-servidores-publicos-se-especializaron-en-el-uso-del-maletin-de-investigaciones-en-delitos-de-feminicidio-e-infanticidio
17/08/2020,Bolivia ,Estadísticas de feminicidio,Productos/Recursos,Estadísticas de feminicidio.,https://www.fiscalia.gob.bo/index.php/estadisticas/125-feminicidios
17/08/2020,Bolivia ,Delitos de la Ley 348,Productos/Recursos,Estadísticas durante cuarentena.,https://www.fiscalia.gob.bo/index.php/estadisticas/137-violencia-familiar-o-domestica
01/04/2020,Brasil,Aplicación de Derechos Humanos Brasil,Proyectos/Iniciativas,"La solicitud permite la creación de denuncias por violación a los derechos humanos. Las quejas pueden hacerse de manera identificada o anónima. Cada informe recibe un número de protocolo para el seguimiento en tiempo real del progreso. Será posible hacer quejas por videollamada y chatear directamente con un asistente debidamente capacitado,  tendrá un área especial para el idioma brasileño de los signos.",https://play.google.com/store/apps/details?id=br.gov.direitoshumanosbrasil
14/04/2020,Brasil,Portal Exclusivo para Denuncias - Defensoría Nacional de los Derechos Humanos,Proyectos/Iniciativas,"Disposición de plataformas digitales, aplicaciones y sitios web para las denuncias y reclamaciones por situaciones de violencia y agresión. ",https://ouvidoria.mdh.gov.br/
22/06/2020,Brasil,Ordenanza No. 340 de 22 de junio de 2020. Crea el Protocolo Nacional de Investigación y Experiencia en Crímenes de Feminicidios,Proyectos/Iniciativas,Protocolo de normalización en la investigación y experiencia de los delitos de feminicidio.,https://www.in.gov.br/en/web/dou/-/portaria-n-340-de-22-de-junho-de-2020-262969693
01/04/2020,Brasil," Campaña ""¡Hola vecino!""",Proyectos/Iniciativas,"Piezas de campaña dirigidas a condominios con el propósito de involucrar a todo el vecindario en la batalla contra la violencia doméstica, especialmente en el período pandémico por COVID-19.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/abril/ministerio-realiza-acao-de-enfrentamento-a-violencia-em-condominios?_authenticator=9c0c00595a9857365fda0a6ae7777ecddf966e54
01/04/2020,Brasil,Programa You Are Not Alone (Asociación con Avon para abordar la violencia doméstica durante la pandemia),Proyectos/Iniciativas,"La asociación con la Ligue 180 consiste en la difusión del canal como el principal vehículo de orientación a las mujeres en situaciones de violencia; recepción de quejas sobre los servicios de la red de servicios; proporción de orientación legal a las víctimas; y, derivación a otros servicios de apoyo si es necesario. Además, el canal también comparte información sobre los servicios públicos disponibles para las mujeres en el territorio nacional.",https://www.avon.com.br/instituto-avon/isoladassimsozinhasnao#
01/06/2020,Brasil,"Curso gratuito ""Violencia doméstica y familiar contra las mujeres durante el aislamiento social""",Proyectos/Iniciativas,"Curso gratuito dirigido, principalmente, a las instituciones que conforman la red de servicios de la mujer. El curso aborda los conceptos básicos del proceso de violencia doméstica, la legislación, las herramientas de evaluación de riesgos, los impactos pandémicos, la importancia de la creación de redes, la revictimización de la atención y las cuestiones relacionadas con la comunicación externa de la violencia.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/ministerio-lanca-curso-sobre-violencia-contra-a-mulher-durante-o-isolamento-social
09/04/2020,Brasil,Portaria No. 37 de 08 de abril de 2020. Disciplina el registro de sucesos policiales en el contexto de la violencia doméstica y familiar contra la mujer,Proyectos/Iniciativas,"Portaria No. 37 de 08 de abril de 2020 habilita diferentes instancias para denunciar los delitos en el contexto de violencia doméstica y familiar tales como Policía Especial, Comisaría de Protección de la Niñez,  Policía Especial para la represión de delitos por discriminación racial y la comisaría de policía electrónica.",https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/portaria_37-pdf-1.pdf
14/04/2020,Brasil,Norma de Servicio No. 10 de 14 de abril de 2020. Medidas y actuaciones policiales,Proyectos/Iniciativas,Establece como medidas urgentes e imprescindibles realizar llamadas ante casos de a) situaciones flagrantes; b) Investigaciones urgentes de niños presos ; c) Llamadas urgentes; d) audiencias sobre hechos graves; e) instrucciones necesarias para la instrucción de Medidas Cautelares.,https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/sei_00052_00006388_2020_71.pdf
15/07/2020,Brasil,Folleto para hombres ,Productos/Recursos,"El folleto tiene por objetivo informar de la Ley Maria da Penha: obligaciones y derechos. El informativo contiene la historia de la ley Maria da Penha, los tipos de violencia caracterizados por la legislación, las medidas de protección de emergencia que contempla e información sobre la red de seguridad. Además, presenta información respecto de mitos  sobre la violencia doméstica contra las mujeres y actitudes prácticas que contribuyen a prevenir la violencia en las relaciones. La información brindada le permite a los lectores reflexionar sobre la construcción de nuevas formas de relación basadas en el diálogo y de un nuevo modelo de sociedad equitativa en materia de género.",https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/cartilha-homens-4.pdf
15/07/2020,Brasil,"Cuestionario ""¿Respetas a las mujeres?""",Productos/Recursos,"Cuestionario dirigido a la población masculina, con o sin antecedentes de violencia contra las mujeres, que le permite al encuestado la autoidentificación de prácticas violentas contra las mujeres en su comportamiento diario. ",https://www.tjdft.jus.br/institucional/imprensa/noticias/arquivos/questionario_homens.pdf
01/06/2020,Brasil,Información sobre la atención en la Red Sistema Unificado de Asistencia Social (SUAS) de mujeres víctimas de violencia doméstica y familiar durante la Pandemia de COVID-19,NA,"Guía informativa sobre la Nota Técnica 25, ofrece recomendaciones generales para la atención de mujeres víctimas de violencia doméstica y familiar durante la pandemia por COVID-19.",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/governo-federal-publica-orientacoes-para-atendimento-de-mulheres-em-situacao-de-violencia-no-suas/Informativo_violencia_contra_mulheres_n25_junho_2020_SNAS.pdf
01/06/2020,Brasil,Ordenanza No. 86 de 01 de junio de 2020. Aprueba recomendaciones generales para la atención de la mujer en situaciones de violencia doméstica y familiar en la red de asistencia social del Sistema Unificado de Asistencia Social ,Productos/Recursos,Aprueba recomendaciones generales para la atención de la mujer en situaciones de violencia doméstica y familiar en la red de asistencia social del Sistema Unificado de Asistencia Social - SUAS en el contexto de pandemia por COVID-19.,https://www.in.gov.br/en/web/dou/-/portaria-n-86-de-1-de-junho-de-2020-259638376
07/07/2020,Brasil,"Ley No. 14.022 de 07 de julio de 2020. Modifica la Ley No. 13.979, de 6 de febrero de 2020, y prevé medidas para combatir la violencia doméstica y familiar contra las mujeres y combatir la violencia contra los niños, adolescentes, ancianos y personas con discapacidad durante la emergencia de salud pública de importancia internacional resultante del coronavirus responsable del brote de 2019",Política/Ley,"Modifica la Ley No 13.979, de 6 de febrero de 2020, y prevé medidas para combatir la violencia doméstica y familiar contra las mujeres y combatir la violencia contra los niños, adolescentes, ancianos y personas con discapacidad durante la emergencia de salud pública del coronavirus responsable del brote de 2019. Se extienden y mantienen, sin suspensión, los plazos procesales, la valoración de asuntos, la asistencia de las partes y el otorgamiento de medidas de protección relacionados con hechos de violencia doméstica y familiar cometidos contra mujeres, niños, adolescentes, ancianos y personas con discapacidad y son considerados de carácter urgente.",http://www.planalto.gov.br/CCIVIL_03/_Ato2019-2022/2020/Lei/L14022.htm
03/04/2020,Brasil,"Ley No. 13.984, de 03 de abril de 2020. Modifica el Art. 22 de la Ley No. 11.340, de 7 de agosto de 2006, para establecer como medidas de protección urgentes la frecuencia del agresor en el centro de educación y rehabilitación y seguimiento psicosocial",Política/Ley,"Modifica el artículo 22 de la Ley No 11.340 de 7 de agosto de 2006 (Ley María da Penha), para establecer la urgente asistencia del agresor a los programas de recuperación, reeducación y seguimiento psicosocial a través de la atención individual y/o en un grupo de apoyo.",http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/L13984.htm
15/05/2020,Brasil,Campaña para denunciar Violencia Doméstica,Proyectos/Iniciativas,"Campaña de sensibilización sobre la violencia doméstica que dispone de material digital público, gratuito y descargable para compartir en redes sociales con el propósito de visibilizar la problemática de la violencia doméstica y promover la denuncia ante tales situaciones.",https://www.gov.br/mdh/pt-br/denuncie-a-violencia-domestica
01/06/2020,Brasil,"Campaña ""Luz roja contra la violencia doméstica""",Proyectos/Iniciativas,"Campaña dirigida a  establecer señales de auxilio para denunciar hechos de violencia doméstica. La acción está dirigida a las redes de farmacias en todo el país y tiene como objetivo combatir la violencia doméstica y familiar contra las mujeres a través de quejas. La idea es animar a la víctima a dibujar una ""X"" en su mano y mostrarla al asistente o farmacéutico. ",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/junho/cartazA3AMB_logo.pdf
01/05/2020,Brasil,Enfrentando a violência doméstica e familiar contra a mulher,Productos/Recursos,"Guía informativa acerca de la violencia doméstica y familiar: definición y tipología, factores de riesgo y protección asociados, impactos en la salud y bienestar de quienes están y viven situaciones de violencia doméstica, legislación vigente y redes de atención y/o denuncia. ",https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/maio/cartilha-auxilia-mulheres-no-enfrentamento-a-violencia/Cartilhaenfrentamento_QRCODE1.pdf
01/06/2020,Brasil,Folleto de mulheres na COVID-19,Productos/Recursos,"Guía dirigida a mujeres con información sobre acciones preventivas y de emergencias en salud, acciones de refugio y denuncia ante situaciones de violencia contra la mujer y redes de apoyo para acceder al mercado laboral; en contexto de pandemia por COVID-19.",https://www.gov.br/mdh/pt-br/navegue-por-temas/politicas-para-mulheres/publicacoes-1/mulherescovid19_Alterado_corrigido_1407.pdf
02/04/2020,Brasil,"Ley No. 13.982 de 02 de abril de 2020. Modifica la Ley No. 8.742, de 7 de diciembre de 1993, para establecer parámetros adicionales para caracterizar la situación de vulnerabilidad social a los efectos de la elegibilidad para el beneficio de prestación continua (BPC) y establece medidas excepcionales de protección social a ser adoptadas durante el período de afrontamiento de la emergencia de salud pública de importancia internacional derivada del coronavirus (COVID-19) responsable del brote de 2019, a que se refiere la Ley No. 13.979, de 6 de febrero de 2020",Política/Ley,Aumento del apoyo económico para mujeres proveedoras en familias monoparentales en el Programa parte del Beneficio de Prestación Continuada (BPC) con dos cuotas de asistencia de emergencia de R$600 cada una. ,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/L13982.htm
01/06/2020,Chile,Material de consulta y derivación,Productos/Recursos,"Guía informativa dirigida a empresas sobre violencia intrafamiliar en situaciones de trabajo presencial y teletrabajo: definición, formas de identificar violencia intrafamiliar en el trabajo y en el hogar y canales de denuncia. ",https://iniciativaparidadgenero.cl/wp-content/uploads/2020/06/Material-de-consulta-y-derivaci%C3%B3n.pdf
01/06/2020,Chile,Autodiagnóstico de violencia intrafamiliar dirigido a trabajadoras,Productos/Recursos,Cuestionario dirigido a trabajadoras que le permite a la encuestada la autoidentificación de prácticas violentas de sus parejas hacia ellas.,https://iniciativaparidadgenero.cl/wp-content/uploads/2020/06/Autodiagn%C3%B3stico-de-Violencia-Intrafamiliar.pdf
01/06/2020,Chile,Guía de prevención de la violencia contra la mujer,Productos/Recursos,"Guía informativa que define violencia intrafamiliar, detalla los tipos de violencia contra la mujer, identifica señales de alerta temprana y dispone de los canales de apoyo y denuncia a las víctimas. ",https://iniciativaparidadgenero.cl/wp-content/uploads/2020/06/Gu%C3%ADa-de-prevenci%C3%B3n-de-la-violencia-contra-la-Mujer.pdf
01/04/2020,Chile,Comunidad IPG Chile frente al COVID-19: Intercambio de Buenas Prácticas con enfoque de género ,Productos/Recursos,"Documento que sintetiza Buenas Prácticas con enfoque de género realizadas por 38 empresas en Chile, en el contexto de pandemia por COVID-19. El documento incluye recomendaciones especiales para abordar la violencia intrafamiliar y las responsabilidades domésticas y de cuidado.",https://iniciativaparidadgenero.cl/wp-content/uploads/2020/04/2020_04_23-IPG-COVID19.pdf
01/04/2020,Chile,Campaña #Mascarilla19,Proyectos/Iniciativas,"Iniciativa que incluye a las farmacias como canales de ayuda para mujeres que se encuentren en situaciones de riesgo o peligro para su integridad física, psicológica y/o sexual. A través del empleo de la palabra clave mascarilla 19, las mujeres en situación de violencia pueden ser contactadas por farmacéuticos al Fono de orientación 1455 o Carabineros de Chile. ",https://minmujeryeg.gob.cl/?page_id=39626
28/04/2020,Chile,WhatsApp Mujer,Proyectos/Iniciativas,"Por medio de la comunicación a través de la aplicación WhatsApp se pretende brindar información, orientación y contención emocional a quienes estén viviendo situaciones de violencia o sean testigos de esta.  El número es +569 9700 7000.",https://www.sernameg.gob.cl/?p=31250
12/05/2020,Chile,Iniciativa “Contigo Mujer”,Proyectos/Iniciativas,Programa transmitido martes y jueves en Facebook Live que entrega orientaciones y ayuda á mujeres durante la cuarentena obligatoria.,https://minmujeryeg.gob.cl/?p=40193
20/03/2020,Chile,Plan para la protección de la violencia contra la mujer ,Planes y Programas,"Plan de contingencia para dar continuidad a la atención, protección y reparación de mujeres víctimas o posibles víctimas de violencia. En el plan se mantienen operativos los Centros de la Mujer, Centros Violencia Sexual, Casas de Acogida, atención a casos de violencia extrema, coordinación Circuito Intersectorial de Femicidio, Fono de Atención 1455, Mascarilla 19, canales de comunicación silenciosa como Chat Web y WhatsApp Mujeres y campaña ""Hazlo por ellas"".",https://minmujeryeg.gob.cl/?page_id=38495
21/04/2020,Chile,Chat 1455,Proyectos/Iniciativas,"Chat 1455 de atención las 24 horas del día, los siete días de la semana, a través de cual se puede acceder a información relevante sobre qué hacer en situaciones de violencia de pareja y, en caso de peligro, se realiza el aviso inmediato a Carabineros de Chile para ir en su ayuda. ",https://www.sernameg.gob.cl/?p=31210
21/04/2020,Chile,Campaña #HazloPorEllas,Proyectos/Iniciativas,Campaña que busca invitar a la ciudadanía a involucrarse en la prevención y erradicación de la violencia contra la mujer.,https://minmujeryeg.gob.cl/?page_id=39667
01/07/2020,Chile,"Guía de actuación: Recomendaciones para mujeres que viven violencia en situación de permanencia domiciliaria derivada del estado de alerta sanitaria
por COVID-19",Productos/Recursos,"Guía para comunicar de manera silenciosa abusos de violencia contra la mujer, establece los mecanismos de atención e instituciones donde acudir.",https://minmujeryeg.gob.cl/wp-content/uploads/2020/07/GUIA-DE-VIOLENCIA__MINMUJER.pdf
01/06/2020,Chile,Estadísticas y delitos entre enero y junio de 2020,Productos/Recursos,Estadísticas y delitos entre enero y junio de 2020.,http://www.fiscaliadechile.cl/Fiscalia/archivo?id=41802&pid=236&tid=1&d=1
01/07/2020,Chile,Casos policiales por delitos de mayor connotación social (DMCS) y violencia intrafamiliar,Productos/Recursos,Casos policiales y personas aprehendidas por delitos de mayor connotación social y violencia intrafamiliar.,http://cead.spd.gov.cl/wp-content/uploads/file-manager/Presentaci%C3%B3n-Estad%C3%ADsticas-2do-trim-2020.pdf
30/06/2020,Chile,Femicidios,Productos/Recursos,Estadísticas de femicidios.,https://www.sernameg.gob.cl/?page_id=27084
06/07/2020,Colombia,"Décimo quinto boletín sobre la atención de líneas de atención telefónica a mujeres en el contexto de medidas de aislamiento preventivo por SARS-CoV-2, en Colombia",Proyectos/Iniciativas,Análisis sobre el comportamiento de las llamadas recibidas a través de la línea de atención a mujeres en situaciones de violencia 1551 entre el 25 de marzo y el 2 de julio de 2019 y 2020.,http://www.equidadmujer.gov.co/oag/Documents/linea-155-boletin-15.pdf
