Date,Hits,Year,Month,Day,Fuente
2020-01-23,39,2020,ene,23,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-24,33,2020,ene,24,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-25,19,2020,ene,25,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-26,19,2020,ene,26,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-27,39,2020,ene,27,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-28,39,2020,ene,28,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-29,43,2020,ene,29,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-30,40,2020,ene,30,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-31,32,2020,ene,31,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-01,23,2020,feb,1,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-02,25,2020,feb,2,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-03,39,2020,feb,3,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-04,43,2020,feb,4,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-05,45,2020,feb,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-06,39,2020,feb,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-07,42,2020,feb,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-08,20,2020,feb,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-09,27,2020,feb,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-10,60,2020,feb,10,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-11,51,2020,feb,11,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-12,52,2020,feb,12,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-13,48,2020,feb,13,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-14,39,2020,feb,14,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-15,20,2020,feb,15,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-16,31,2020,feb,16,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-17,42,2020,feb,17,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-18,59,2020,feb,18,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-19,64,2020,feb,19,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-20,63,2020,feb,20,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-21,38,2020,feb,21,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-22,23,2020,feb,22,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-23,32,2020,feb,23,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-24,49,2020,feb,24,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-25,53,2020,feb,25,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-26,60,2020,feb,26,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-27,59,2020,feb,27,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-28,48,2020,feb,28,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-02-29,33,2020,feb,29,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-01,29,2020,mar,1,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-02,55,2020,mar,2,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-03,59,2020,mar,3,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-04,63,2020,mar,4,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-05,58,2020,mar,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-06,51,2020,mar,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-07,28,2020,mar,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-08,24,2020,mar,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-09,57,2020,mar,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-10,57,2020,mar,10,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-11,73,2020,mar,11,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-12,71,2020,mar,12,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-13,51,2020,mar,13,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-14,28,2020,mar,14,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-15,24,2020,mar,15,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-16,23,2020,mar,16,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-17,44,2020,mar,17,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-18,45,2020,mar,18,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-19,32,2020,mar,19,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-20,36,2020,mar,20,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-21,34,2020,mar,21,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-22,30,2020,mar,22,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-23,39,2020,mar,23,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-24,39,2020,mar,24,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-25,45,2020,mar,25,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-26,37,2020,mar,26,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-27,33,2020,mar,27,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-28,27,2020,mar,28,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-29,36,2020,mar,29,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-30,33,2020,mar,30,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-03-31,40,2020,mar,31,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-01,37,2020,abr,1,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-02,32,2020,abr,2,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-03,36,2020,abr,3,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-04,31,2020,abr,4,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-05,30,2020,abr,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-06,36,2020,abr,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-07,32,2020,abr,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-08,34,2020,abr,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-09,26,2020,abr,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-10,20,2020,abr,10,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-11,28,2020,abr,11,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-12,31,2020,abr,12,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-13,22,2020,abr,13,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-14,32,2020,abr,14,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-15,36,2020,abr,15,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-16,36,2020,abr,16,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-17,40,2020,abr,17,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-18,30,2020,abr,18,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-19,25,2020,abr,19,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-20,38,2020,abr,20,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-21,49,2020,abr,21,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-22,36,2020,abr,22,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-23,45,2020,abr,23,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-24,48,2020,abr,24,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-25,29,2020,abr,25,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-26,37,2020,abr,26,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-27,53,2020,abr,27,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-04-28,57,2020,abr,28,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
